X1,Y1,X2,Y2,X3,Y3
9.3,1.62238603895632,9.3,0.317700003429523,9.3,1.3046860355268
9.4,1.55541530787395,9.4,0.32253161298155,9.4,1.2328836948924
9.5,1.4783178750822,9.5,0.32721613978097,9.5,1.15110173530123
9.6,1.39175429810032,9.6,0.3317521544965,9.6,1.06000214360382
9.7,1.29646116266973,9.7,0.33613883412937,9.7,0.960322328540357
9.8,1.19324508013693,9.8,0.34037592837633,9.8,0.852869151760604
9.9,1.08297612004714,9.9,0.34446372339231,9.9,0.738512396654834
10,0.96658073150057,10,0.348403003637935,10,0.618177727862635
10.1,0.845034210906859,10.1,0.352195012457821,10.1,0.492839198449038
10.2,0.719352777386414,10.2,0.355841411987528,10.2,0.363511365398886
10.3,0.590585320183383,10.3,0.359344242932538,10.3,0.231241077250845
10.4,0.459804885050219,10.4,0.36270588470387,10.4,0.0970990003463488
10.5,0.328099968618602,10.5,0.365929016334093,10.5,-0.0378290477154907
10.6,0.196565691270846,10.6,0.369016578536158,10.6,-0.172450887265312
10.7,0.0662949199583523,10.7,0.371971737207326,10.7,-0.305676817248973
10.8,-0.0616305872270673,10.8,0.374797848622666,10.8,-0.436428435849734
10.9,-0.18614894314023,10.9,0.377498426508183,10.9,-0.563647369648413
11,-0.306226729529733,11,0.380077111133249,11,-0.686303840662982
11.1,-0.420867361405143,11.1,0.382537640516294,11.1,-0.803405001921437
11.2,-0.529119150298569,11.2,0.384883823796772,11.2,-0.914002974095341
11.3,-0.630083001350733,11.3,0.387119516790522,11.3,-1.01720251814126
11.4,-0.722919682128926,11.4,0.389248599714665,11.4,-1.11216828184359
11.5,-0.806856604559507,11.5,0.391274957041993,11.5,-1.1981315616015
11.6,-0.881194065303114,11.6,0.393202459423182,11.6,-1.2743965247263
11.7,-0.945310894285068,11.7,0.395034947597715,11.7,-1.34034584188278
11.8,-0.998669465881637,11.8,0.396776218200907,11.8,-1.39544568408254
11.9,-1.04082003241649,11.9,0.398430011364332,11.9,-1.43925004378082
12,-1.07140434509974,12,0.4,12,-1.47140434509974
12.1,-1.09015853330042,12.1,0.401489780654375,12.1,-1.49164831395479
12.2,-1.09691521903592,12.2,0.40290286581636,12.2,-1.49981808485228
12.3,-1.0916048497407,12.3,0.404242677563397,12.3,-1.4958475273041
12.4,-1.07425623869177,12.4,0.40551254243145,12.4,-1.47976878112322
12.5,-1.0449963088693,12.5,0.40671568739759,12.5,-1.45171199626689
12.6,-1.00404904246551,12.6,0.407855236867895,12.6,-1.4119042793334
12.7,-0.95173364467183,12.7,0.408934210568143,12.7,-1.36066785523997
12.8,-0.888461936722091,12.8,0.409955522240145,12.8,-1.29841745896224
12.9,-0.814734999395559,12.9,0.410921979052326,12.9,-1.22565697844788
13,-0.731139094239424,13,0.411836281639124,13,-1.14297537587855
13.1,-0.638340895605512,13.1,0.41270102468991,13.1,-1.05104192029542
13.2,-0.537082072164079,13.2,0.413518698014172,13.2,-0.950600770178251
13.3,-0.428173261813508,13.3,0.414291688015738,13.3,-0.842464949829246
13.4,-0.312487488805644,13.4,0.415022279514611,13.4,-0.727509768320255
13.5,-0.190953076413112,13.5,0.415712657860598,13.5,-0.60666573427371
13.6,-0.0645461125407232,13.6,0.416364911288284,13.6,-0.480911023829007
13.7,0.0657174707054437,13.7,0.416981033467926,13.7,-0.351263562762482
13.8,0.198790139358987,13.8,0.417562926211626,13.8,-0.218772786852639
13.9,0.333601255111968,13.9,0.418112402298563,13.9,-0.0845111471865949
14,0.469065759218894,14,0.418631188387189,14,0.050434570831705
14.1,0.604092972488934,14.1,0.419120927986092,14.1,0.184972044502842
14.2,0.73759544013387,14.2,0.419583184458731,14.2,0.318012255675139
14.3,0.868497749879523,14.3,0.420019444040436,14.3,0.448478305839087
14.4,0.995745251967883,14.4,0.420431118848971,14.4,0.575314133118913
14.5,1.11831261047394,14.5,0.420819549872609,14.5,0.697493060601332
14.6,1.23521211672871,14.6,0.42118600992203,14.6,0.814026106806679
14.7,1.34550169756762,14.7,0.421531706534503,14.7,0.923969991033119
14.8,1.44829255359505,14.8,0.421857784820724,14.8,1.02643476877433
14.9,1.54275636565193,14.9,0.422165330246398,14.9,1.12059103540553
15,1.6281320111696,15,0.422455371342169,15,1.20567663982743
15.1,1.70373173606099,15.1,0.422728882336829,15.1,1.28100285372417
15.2,1.76894673220802,15.2,0.422986785709954,15.2,1.34595994649806
15.3,1.8232520754158,15.3,0.423229954661119,15.3,1.40002212075468
15.4,1.86621098388145,15.4,0.423459215493769,15.4,1.44275176838768
15.5,1.89747836272512,15.5,0.423675349912604,15.5,1.47380301281251
15.6,1.9168036059102,15.6,0.423879097234013,15.6,1.49292450867619
