X1,Y1,X2,Y2,X3,Y3,X4,Y4
0.124,0.409627093685951,0.124,0.0538981857833596,0.124,0.117732006603611,0.124,0.198909080248611
0.124,0.429381232038711,0.124,0.0564651285181469,0.149,0.0929368955913347,0.149,0.217914647224007
0.149,0.474684673918374,0.149,0.0513292968927901,0.174,0.119835652732087,0.174,0.240171623097815
0.174,0.503781139045366,0.174,0.0496557405653901,0.174,0.142615253857637,0.174,0.259534085011961
0.174,0.528350656291825,0.174,0.0492298137730034,0.17,0.164354638517495,0.17,0.278662963538613
0.17,0.551721443418641,0.17,0.050368650255054,0.106,0.116860993381315,0.106,0.0566918958021765
0.106,0.256913418794486,0.106,0.0611858225736487,0.06,0.0443869079555261,0.06,0
0.06,0.174029838571947,0.06,0.0622460094057923,0.143,0.139062585400298,0.143,0.142742787405728
0.143,0.36560906019903,0.143,0.0578937713663247,0.116,0.0921261246554861,0.116,0.103444593594063
0.116,0.31431159001921,0.116,0.058441076596214,0.086,0.0436219566569831,0.086,0.0594519101656595
0.086,0.260171185571642,0.086,0.0572453834577185,0.011,0.0195610176129912,0.011,0
0.011,0.0403493572333238,0.011,0.0865112062677849,0.02,0.0205261553571047,0.02,0
0.02,0.0435229584257932,0.02,0.0854374429087476,0.025,0.0215245157434586,0.025,0
0.025,0.0467837039819072,0.025,0.0856654067075826,0.032,0.00892274407893712,0.032,0
0.032,0.115479648832858,0.032,0.0819510519886152,0.043,0.0141428143228866,0.043,0
0.043,0.123549007662046,0.043,0.0811189597933703,0.051,0.0198800680653122,0.051,0
0.051,0.132240027553438,0.051,0.0816174607611728,0.054,0.0255780907099577,0.054,0
0.054,0.141056811097757,0.054,0.0838471069091064,0.058,0.031957335569969,0.058,0
0.058,0.150632648187334,0.058,0.0878868342946382,0.08,0.0255760265251005,0.08,0.0282068959708145
0.08,0.222799683045998,0.08,0.077341583220507,0.099,0.040022680837948,0.099,0.0464393646376512
0.099,0.240976092982044,0.099,0.0767541004183999,0.101,0.0526525838377374,0.101,0.0628645265778684
0.101,0.257013577231486,0.101,0.0775236567949124,0.099,0.0649932871001769,0.099,0.0794725434917559
0.099,0.272812499175513,0.099,0.0800753227163819,0.1,0.0777131394533636,0.1,0.0964317641106176
0.1,0.288918436234794,0.1,0.0844640045382875,0.153,0.0664853514775898,0.153,0.134258837910094
0.153,0.353109116488283,0.153,0.0726877156936955,0.17,0.0916417081180097,0.17,0.158096302335085
0.17,0.381920536707103,0.17,0.0723428586653526,0.165,0.112326927032556,0.165,0.178090454244351
0.165,0.405666975578144,0.165,0.0733813411801526,0.155,0.131032178209088,0.155,0.196875129866638
0.155,0.427248363243245,0.155,0.0762559317786946,0.151,0.1494110103778,0.151,0.21538366976374
0.151,0.448259801270281,0.151,0.0809865398174811,0.227,0.118896686983169,0.227,0.22945257255781
0.227,0.486711156451844,0.227,0.0679907182736859,0.24,0.15181414348572,0.24,0.255663835345607
0.24,0.521808781012138,0.24,0.0678896080372261,0.23,0.178245671008287,0.23,0.277293042091562
0.23,0.54988490369113,0.23,0.0691971797015125,0.213,0.20060496325681,0.213,0.29665126071993
0.213,0.5736933701976,0.213,0.0723969329945525,0.143,0.143117022266294,0.143,0.0728384887775784
0.143,0.272258614424811,0.143,0.0807860186384704,0.078,0.0615743526032025,0.078,0
0.078,0.179339926827914,0.078,0.0818312852136733,0.198,0.170793332409822,0.198,0.160737364995285
0.198,0.385496825294295,0.198,0.0771180594000525,0.158,0.1180100972156,0.158,0.117577606989499
0.158,0.328174397123452,0.158,0.0776581822976396,0.117,0.064741233801018,0.117,0.0700981060563864
0.117,0.268957441806669,0.117,0.0762137655586414,0.012,0.0308940228891686,0.012,0
0.012,0.0404515947179637,0.012,0.104610433641465,0.021,0.0318795132176231,0.021,0
0.021,0.0437007204488369,0.021,0.104766444275392,0.028,0.0331540326464346,0.028,0
0.028,0.0473615422934722,0.028,0.106357760488633,0.038,0.0219238930473707,0.038,0
0.038,0.116279277670208,0.038,0.0997281027143162,0.049,0.0276111580858801,0.049,0
0.049,0.124947616121201,0.049,0.100140359488552,0.054,0.0332383240485786,0.054,0
0.054,0.133553980362376,0.054,0.102016692509032,0.057,0.0392839554712487,0.057,0
0.057,0.142834340804671,0.057,0.105897325825047,0.062,0.0463335949694467,0.062,0
0.062,0.153250479351786,0.062,0.111703215094835,0.102,0.0417524607918999,0.102,0.0346195431432806
0.111,0.244840102662221,0.102,0.0947918639019526,0.111,0.0567322244746997,0.111,0.0533145389129072
0.111,0.261915196159702,0.111,0.0954576230219989,0.111,0.0702616078820137,0.111,0.0705268905760859
0.107,0.278366225882556,0.111,0.0976194947417196,0.107,0.0831605897825966,0.107,0.0875618992803379
